name,id,city,state,lat,lon,score,rank,rank2,globalScore,country,price,guestrating
Surf City Inn & Suites,42212,Santa Cruz, California,36.96986,-122.01988,400927.84,11.810301,97.8209228515625,30.0,US,279.00,6.9
Silverado Golf Course,147643504,Napa, California,38.35994,-122.26403,400981.97,0.5,97.81620025634766,30.0,US,719.98,0.0
